id,title,type,price,state,city,areaSqFt,bedrooms,bathrooms,amenities,furnished,availableFrom,listedBy,tags,colorTheme,rating,isVerified,listingType
PROP1022,Again several head.,Apartment,25544153,Tamil Nadu,Chennai,2508,2,2,lift|security|garden|gym|pool|parking,Semi,2025-06-24,Builder,gated-community|family-friendly,#233bec,1.6,True,rent
PROP1023,Sing what.,Penthouse,26412813,Gujarat,Ahmedabad,770,6,2,gym|clubhouse|wifi|security|parking,Semi,2025-07-15,Agent,sea-view|lake-view|corner-plot,#1e026a,2.0,False,rent
PROP1024,Else reflect.,Studio,44990914,Delhi,New Delhi,3617,5,2,parking|clubhouse|lift|gym|power-backup|security,Unfurnished,2025-09-20,Agent,near-metro|affordable,#f2e883,4.6,False,sale
PROP1025,Manage head pretty.,Villa,39369496,Delhi,New Delhi,4876,4,4,security|pool|clubhouse|gym|wifi|lift,Semi,2025-09-25,Builder,affordable|corner-plot|luxury,#1f1cfc,4.9,True,sale
PROP1026,Star stage behavior along tell.,Studio,13137116,Gujarat,Vadodara,3102,6,2,lift|garden|power-backup|security|gym,Unfurnished,2025-06-11,Builder,gated-community|sea-view|luxury|family-friendly,#e4e292,3.6,False,sale
PROP1027,Yet rise.,Apartment,26277480,Gujarat,Vadodara,3616,4,5,gym|garden|parking,Unfurnished,2025-09-21,Builder,corner-plot|sea-view|luxury,#ff6de6,3.4,True,sale
PROP1028,Down tend crime.,Apartment,45647723,Maharashtra,Mumbai,570,4,5,lift|wifi|security,Semi,2025-10-22,Owner,affordable|family-friendly|luxury,#b86847,1.0,False,sale
PROP1029,Safe ability fire.,Penthouse,22580312,West Bengal,Siliguri,3692,6,3,power-backup|lift|garden,Semi,2025-09-25,Agent,lake-view|luxury|corner-plot,#1d4b7e,1.4,False,rent
PROP1030,Let important entire.,Penthouse,39463030,Karnataka,Bangalore,3405,2,1,gym|pool|parking|clubhouse,Unfurnished,2025-09-10,Owner,lake-view|family-friendly,#57dded,1.3,False,rent
PROP1031,Simply mouth if.,Penthouse,17012396,Gujarat,Vadodara,2593,5,4,power-backup|garden|security,Furnished,2025-09-28,Builder,family-friendly|affordable,#d0f291,4.0,False,rent
PROP1032,Create during change couple.,Studio,886479,Tamil Nadu,Madurai,558,2,3,clubhouse|garden|gym|lift,Unfurnished,2025-07-24,Owner,gated-community|lake-view|affordable,#b0053f,2.2,False,sale
PROP1033,Question act yourself.,Apartment,24614366,Delhi,New Delhi,1612,3,2,parking|clubhouse|gym,Semi,2025-10-03,Builder,lake-view|luxury,#ae29b6,2.5,False,sale
PROP1034,For quality need approach.,Villa,30402804,West Bengal,Siliguri,4169,2,2,clubhouse|pool|power-backup|security|wifi,Furnished,2025-06-28,Agent,sea-view|near-metro,#b3c1b3,1.8,True,sale
PROP1035,More authority computer.,Studio,39663905,West Bengal,Kolkata,2506,1,2,pool|power-backup|parking,Unfurnished,2025-06-28,Owner,gated-community|lake-view|affordable|family-friendly,#a5fbae,3.1,False,sale
PROP1036,Sure image you likely house.,Bungalow,11442998,Gujarat,Surat,496,1,1,power-backup|clubhouse|gym,Unfurnished,2025-09-20,Builder,luxury|lake-view|sea-view,#2f64b3,4.6,False,sale
PROP1037,Career happy few.,Villa,23451622,Gujarat,Surat,2730,1,2,security|clubhouse|pool|power-backup,Semi,2025-10-23,Agent,near-metro|family-friendly,#5fb758,3.6,False,sale
PROP1038,Reality as professor red.,Penthouse,8698191,Karnataka,Bangalore,2646,1,5,pool|parking|gym|wifi|garden|clubhouse,Unfurnished,2025-06-24,Builder,family-friendly|gated-community|lake-view,#47dadf,2.9,False,rent
PROP1039,Person both suggest out.,Studio,32274146,Gujarat,Ahmedabad,4662,5,5,garden|lift|gym|clubhouse,Semi,2025-09-22,Agent,gated-community|luxury|lake-view,#189432,1.6,False,rent
PROP1040,Design inside because up turn.,Penthouse,21343481,Maharashtra,Mumbai,1524,6,1,power-backup|wifi|clubhouse,Furnished,2025-10-06,Owner,near-metro|gated-community|luxury,#8df727,1.4,True,rent
PROP1041,Size position I kitchen example.,Penthouse,42670101,Maharashtra,Nagpur,4435,2,5,garden|gym|power-backup|security,Furnished,2025-09-20,Owner,corner-plot|near-metro,#f8e9b5,4.1,True,sale
PROP1042,Likely idea bring they able.,Villa,43800075,Maharashtra,Nagpur,685,6,1,parking|security|lift,Unfurnished,2025-06-15,Agent,lake-view|affordable|near-metro,#533251,2.0,True,sale
PROP1043,Language body third then million.,Villa,11892461,West Bengal,Siliguri,1482,2,2,clubhouse|lift|gym|wifi,Unfurnished,2025-10-09,Owner,corner-plot|luxury|affordable|gated-community,#99f3cc,3.8,True,sale
PROP1044,Smile race check improve.,Villa,11098404,Delhi,New Delhi,1822,4,5,gym|power-backup|garden|wifi|parking,Furnished,2025-07-24,Owner,gated-community|affordable,#75d890,4.8,True,sale
PROP1045,That image establish.,Penthouse,7983159,Maharashtra,Nagpur,712,3,3,wifi|garden|lift|clubhouse,Furnished,2025-07-17,Agent,sea-view|near-metro|luxury|lake-view,#560ebf,4.0,True,rent
PROP1046,Sister stay front response develop.,Apartment,43552308,West Bengal,Kolkata,1995,3,5,gym|wifi|clubhouse,Unfurnished,2025-10-09,Agent,lake-view|luxury|near-metro|gated-community,#a78dde,1.1,True,sale
PROP1047,Success open top now.,Penthouse,3828919,Gujarat,Ahmedabad,1090,1,3,garden|parking|power-backup|clubhouse,Unfurnished,2025-08-10,Builder,gated-community|luxury,#cc9fc0,3.3,True,rent
PROP1048,Democratic sister.,Studio,690388,West Bengal,Kolkata,565,4,1,lift|parking|wifi|security,Semi,2025-06-07,Owner,gated-community|lake-view|sea-view,#509b90,2.1,False,rent
PROP1049,Student everything claim.,Apartment,14280374,Delhi,New Delhi,3960,5,3,clubhouse|gym|lift|parking|wifi,Furnished,2025-10-06,Builder,sea-view|near-metro|luxury|corner-plot,#3efb4c,2.0,False,rent
PROP1050,Anything blue.,Bungalow,3726371,West Bengal,Siliguri,1615,2,5,clubhouse|lift|garden,Semi,2025-08-26,Builder,luxury|family-friendly|affordable,#959c16,4.3,True,rent
PROP1051,Enough window finish.,Penthouse,33673115,Gujarat,Surat,3209,3,1,pool|power-backup|gym|clubhouse|security|parking,Semi,2025-06-25,Builder,affordable|family-friendly|sea-view,#2c9e04,5.0,False,sale
PROP1052,Set child state.,Studio,39042638,Delhi,New Delhi,4379,1,2,security|wifi|clubhouse|pool|garden|gym,Unfurnished,2025-10-31,Agent,sea-view|near-metro,#5c03ec,3.7,True,sale
PROP1053,Huge including.,Villa,4387754,Tamil Nadu,Madurai,761,5,4,gym|wifi|pool|garden|power-backup,Unfurnished,2025-08-28,Owner,gated-community|affordable|corner-plot,#420d44,4.6,True,rent
PROP1054,Great attention when.,Villa,12997466,Tamil Nadu,Coimbatore,3279,5,1,parking|power-backup|wifi|clubhouse|security,Semi,2025-06-20,Owner,near-metro|affordable,#71dc20,1.8,False,sale
PROP1055,Us fill official center.,Penthouse,26025938,Tamil Nadu,Coimbatore,1157,5,3,gym|clubhouse|garden|pool,Semi,2025-08-13,Builder,lake-view|near-metro|family-friendly|gated-community,#75fa66,1.9,False,sale
PROP1056,Never girl.,Studio,20534366,Maharashtra,Mumbai,881,5,5,parking|gym|wifi|power-backup|security|pool,Semi,2025-08-17,Builder,family-friendly|luxury|corner-plot,#fd20e1,2.6,True,rent
PROP1057,Health newspaper.,Apartment,39937580,West Bengal,Siliguri,659,3,5,pool|lift|parking|wifi|garden,Furnished,2025-09-24,Agent,gated-community|sea-view|near-metro,#0ca62b,4.7,True,rent
PROP1058,Military see first.,Penthouse,35096668,West Bengal,Kolkata,1671,1,4,garden|wifi|gym,Semi,2025-08-11,Owner,gated-community|near-metro|affordable,#d3bb0b,4.2,False,rent
PROP1059,He morning media this technology.,Penthouse,35938563,Maharashtra,Mumbai,4550,6,1,pool|parking|lift|garden|wifi|power-backup,Unfurnished,2025-06-16,Owner,near-metro|affordable|lake-view,#78a808,4.7,False,sale
PROP1060,Painting value.,Bungalow,35021661,Karnataka,Bangalore,4627,1,1,lift|parking|security|garden|gym,Unfurnished,2025-10-30,Builder,affordable|luxury|sea-view|family-friendly,#db738b,3.6,True,sale
PROP1061,Will life together.,Villa,21125822,Maharashtra,Mumbai,4227,4,3,security|wifi|power-backup,Furnished,2025-06-29,Agent,sea-view|near-metro|corner-plot|luxury,#6acdb8,3.3,False,sale
PROP1062,Thousand raise region.,Studio,14977707,West Bengal,Siliguri,3409,3,2,security|lift|gym|power-backup|wifi,Unfurnished,2025-08-10,Builder,family-friendly|corner-plot|affordable,#666014,1.1,True,sale
PROP1063,Would early nothing company.,Villa,12452782,Karnataka,Mysore,2977,6,5,clubhouse|power-backup|lift,Unfurnished,2025-06-07,Builder,family-friendly|near-metro|gated-community,#279631,2.7,True,rent
PROP1064,Hotel religious ten trip maintain.,Villa,27283362,Maharashtra,Pune,4830,5,1,clubhouse|garden|power-backup,Furnished,2025-07-20,Builder,sea-view|affordable|family-friendly|luxury,#741089,3.7,False,sale
PROP1065,Word tax far economy.,Apartment,34214942,Delhi,New Delhi,4979,5,4,pool|lift|parking,Unfurnished,2025-07-13,Builder,gated-community|affordable|family-friendly|sea-view,#13da4b,2.4,True,sale
PROP1066,Move step.,Studio,35294582,Maharashtra,Nagpur,4113,5,2,gym|lift|garden,Furnished,2025-08-20,Agent,gated-community|sea-view|affordable|family-friendly,#116841,2.9,False,rent
PROP1067,Share notice however fight.,Bungalow,44356121,Karnataka,Mysore,3933,2,4,security|garden|lift,Unfurnished,2025-10-30,Builder,family-friendly|lake-view|sea-view,#3587ce,4.6,True,sale
PROP1068,Officer music white image.,Villa,46324664,Karnataka,Bangalore,4257,1,3,lift|pool|parking|garden,Semi,2025-11-21,Builder,luxury|gated-community|corner-plot,#34b83e,4.0,False,rent
PROP1069,Mother deal send.,Villa,40223753,Karnataka,Mysore,4639,4,2,security|power-backup|pool,Unfurnished,2025-10-14,Owner,affordable|near-metro|sea-view,#239ec0,2.0,True,sale
PROP1070,Politics care international nature over.,Apartment,8370341,Gujarat,Ahmedabad,1313,1,2,power-backup|clubhouse|security|garden|wifi|parking,Semi,2025-06-11,Owner,family-friendly|sea-view,#c410a4,1.1,True,rent
PROP1071,Since big truth card.,Studio,21994704,Gujarat,Surat,3605,1,2,security|power-backup|pool,Unfurnished,2025-10-03,Owner,affordable|corner-plot|lake-view|near-metro,#f1d186,2.0,False,rent
PROP1072,Ok least pass pattern.,Penthouse,22750197,West Bengal,Siliguri,3918,6,5,parking|clubhouse|gym,Furnished,2025-10-12,Owner,near-metro|corner-plot|gated-community|lake-view,#3bc1e7,2.6,False,rent
PROP1073,During boy article.,Studio,6867427,Maharashtra,Nagpur,4147,5,3,pool|security|lift|gym,Semi,2025-11-07,Owner,corner-plot|sea-view|luxury|gated-community,#72a947,2.9,False,sale
PROP1074,Fear senior actually.,Penthouse,40856995,West Bengal,Siliguri,2278,4,5,parking|gym|lift|pool|power-backup|wifi,Semi,2025-06-05,Builder,affordable|lake-view|luxury,#6988a4,2.0,False,sale
PROP1075,Space benefit.,Villa,36254516,Maharashtra,Nagpur,1857,5,3,wifi|gym|clubhouse|parking|garden,Semi,2025-11-04,Owner,family-friendly|lake-view|gated-community,#ed5f47,2.7,True,rent
PROP1076,After voice company.,Penthouse,32014679,Maharashtra,Pune,2612,3,1,garden|lift|clubhouse,Unfurnished,2025-06-06,Builder,affordable|family-friendly|luxury,#dcb87d,2.0,True,sale
PROP1077,Bed mouth you industry mind.,Apartment,49943718,Gujarat,Surat,4126,6,1,lift|pool|garden,Furnished,2025-08-02,Agent,near-metro|affordable|sea-view,#3c25b3,2.8,False,rent
PROP1078,Small result hold.,Studio,43962499,Gujarat,Vadodara,4666,3,3,security|wifi|lift|power-backup,Semi,2025-11-09,Builder,sea-view|gated-community|corner-plot|near-metro,#759ba0,4.7,True,sale
PROP1079,Catch note these network.,Penthouse,19287811,Maharashtra,Pune,2361,1,3,garden|pool|power-backup|gym|security|wifi,Unfurnished,2025-07-19,Builder,corner-plot|lake-view|gated-community|luxury,#be95ae,1.9,False,sale
PROP1080,Among red drop positive.,Villa,38040082,West Bengal,Kolkata,4241,4,3,garden|parking|power-backup|clubhouse,Unfurnished,2025-10-13,Builder,sea-view|lake-view,#ad62d5,1.5,True,sale
PROP1081,Within show wear.,Penthouse,46973317,Delhi,New Delhi,3236,1,4,power-backup|lift|clubhouse|gym|pool|wifi,Semi,2025-11-17,Agent,affordable|near-metro|luxury|lake-view,#690aab,3.8,False,sale
PROP1082,Current foreign section.,Penthouse,38916732,Karnataka,Mangalore,1318,5,3,security|pool|lift|garden,Unfurnished,2025-07-30,Agent,affordable|near-metro|gated-community,#f565ea,2.1,False,rent
PROP1083,Car seek deep rich.,Villa,38586037,West Bengal,Kolkata,2956,2,4,power-backup|wifi|parking|lift|garden,Furnished,2025-11-10,Builder,family-friendly|luxury,#0242ff,5.0,False,sale
PROP1084,Accept level much.,Apartment,45865419,Maharashtra,Mumbai,1780,2,4,lift|power-backup|gym|security|wifi,Semi,2025-10-25,Agent,gated-community|corner-plot,#8a2a34,1.8,True,sale
PROP1085,Big late political.,Penthouse,42912920,Tamil Nadu,Madurai,3287,3,2,parking|pool|wifi|gym|garden,Furnished,2025-07-16,Builder,corner-plot|sea-view,#ad3fb5,2.3,False,rent
PROP1086,Follow protect white.,Studio,2111513,West Bengal,Kolkata,2673,6,5,lift|clubhouse|power-backup|gym,Furnished,2025-09-07,Agent,affordable|luxury|gated-community|family-friendly,#334bba,3.2,False,sale
PROP1087,Civil however rather nature.,Bungalow,47717340,Gujarat,Surat,4318,2,4,security|parking|garden|pool|power-backup,Unfurnished,2025-08-05,Builder,corner-plot|lake-view|near-metro,#0f2f4e,1.5,False,sale
PROP1088,Increase drop well security school.,Apartment,44804151,Delhi,New Delhi,4873,2,2,security|garden|pool|wifi|clubhouse|power-backup,Semi,2025-10-19,Agent,sea-view|family-friendly,#694333,3.3,True,rent
PROP1089,Avoid third less.,Bungalow,36895490,West Bengal,Kolkata,4647,2,3,security|garden|parking|power-backup|clubhouse,Furnished,2025-07-07,Builder,sea-view|lake-view,#42f4bb,1.7,True,rent
PROP1090,Street imagine also.,Studio,39797428,Gujarat,Ahmedabad,3224,3,5,pool|clubhouse|security,Unfurnished,2025-07-20,Owner,gated-community|sea-view,#1ede5f,3.8,False,sale
PROP1091,Question either do.,Villa,33788731,Gujarat,Ahmedabad,2437,3,5,power-backup|parking|wifi|security|gym,Semi,2025-11-03,Builder,sea-view|affordable|near-metro|gated-community,#4e5150,3.6,False,rent
PROP1092,Able small.,Villa,13043277,Gujarat,Ahmedabad,4227,5,5,wifi|pool|garden|security,Furnished,2025-07-31,Builder,corner-plot|lake-view|family-friendly|sea-view,#b71540,5.0,True,sale
PROP1093,Around stand under single.,Villa,9556409,Tamil Nadu,Madurai,4471,1,3,wifi|security|pool|clubhouse,Unfurnished,2025-09-12,Builder,affordable|sea-view|near-metro|family-friendly,#ccbf73,1.9,False,rent
PROP1094,Mission arrive land.,Penthouse,15018841,Maharashtra,Nagpur,932,3,1,lift|garden|wifi|pool|parking|clubhouse,Furnished,2025-06-17,Owner,sea-view|near-metro|corner-plot|affordable,#f95009,4.3,False,sale
PROP1095,Wonder as save character begin.,Villa,28712515,Delhi,New Delhi,3654,5,3,security|lift|gym|parking|power-backup|clubhouse,Semi,2025-07-17,Agent,lake-view|gated-community|corner-plot,#46e523,4.8,True,rent
PROP1096,Know idea though market skill.,Bungalow,4222630,Tamil Nadu,Madurai,3594,1,3,lift|security|gym|power-backup|wifi|parking,Unfurnished,2025-11-20,Owner,family-friendly|affordable|near-metro|sea-view,#5e0442,3.0,False,sale
PROP1097,Stuff any police.,Villa,27365117,Tamil Nadu,Chennai,4818,1,2,clubhouse|pool|wifi|security,Semi,2025-07-12,Owner,corner-plot|affordable|luxury|lake-view,#9ed537,3.0,False,rent
PROP1098,One move culture.,Villa,16244444,Gujarat,Ahmedabad,2406,3,4,garden|parking|clubhouse,Furnished,2025-10-30,Owner,luxury|gated-community|lake-view|corner-plot,#2e3b27,1.6,True,rent
PROP1099,House contain and keep do.,Apartment,14702821,West Bengal,Kolkata,3034,3,5,parking|clubhouse|gym|wifi|security|lift,Unfurnished,2025-11-19,Builder,family-friendly|near-metro,#70002d,1.8,True,sale
PROP1100,Early memory debate low.,Villa,46160794,Tamil Nadu,Coimbatore,903,1,5,garden|parking|clubhouse,Furnished,2025-06-08,Agent,family-friendly|sea-view,#bc31a7,3.0,True,rent
PROP1101,Budget enter ok another turn.,Villa,2995654,West Bengal,Siliguri,2997,5,3,gym|parking|security|power-backup|clubhouse,Semi,2025-07-03,Builder,near-metro|lake-view|corner-plot,#8a1265,2.1,True,rent
PROP1102,Alone anything time forget administration.,Apartment,17343722,Tamil Nadu,Coimbatore,4854,6,5,gym|power-backup|garden,Unfurnished,2025-11-14,Owner,lake-view|near-metro,#74cbe2,3.9,True,sale
PROP1103,Artist you state.,Villa,45633971,West Bengal,Siliguri,2715,4,5,clubhouse|gym|pool|power-backup,Semi,2025-09-26,Builder,gated-community|family-friendly|sea-view|luxury,#12fc38,3.2,False,rent
PROP1104,Option international production discuss fill.,Apartment,16587052,Karnataka,Mysore,1783,2,3,garden|wifi|pool|gym|power-backup|lift,Unfurnished,2025-11-16,Agent,gated-community|family-friendly|affordable,#3ff2c0,1.5,False,sale
PROP1105,Social either administration listen likely.,Bungalow,11374889,Gujarat,Vadodara,4344,6,4,clubhouse|power-backup|lift|security,Unfurnished,2025-07-18,Builder,luxury|family-friendly|affordable|near-metro,#f28a45,1.4,True,rent
PROP1106,Both attorney line different news.,Bungalow,21313543,Delhi,New Delhi,2117,4,1,wifi|pool|clubhouse|parking,Semi,2025-10-05,Agent,affordable|corner-plot|near-metro|gated-community,#820f18,4.5,False,sale
PROP1107,Risk happy laugh.,Apartment,19514568,Karnataka,Mysore,1665,4,2,pool|parking|garden|lift|clubhouse,Semi,2025-06-25,Builder,affordable|gated-community,#91868d,3.2,True,rent
PROP1108,Black card.,Apartment,28101579,Maharashtra,Nagpur,895,4,3,clubhouse|gym|parking|power-backup|security|pool,Furnished,2025-07-06,Agent,lake-view|corner-plot|affordable|luxury,#28aed9,1.2,False,rent
PROP1109,Economic risk him pattern.,Villa,31667450,Maharashtra,Mumbai,4482,6,5,power-backup|lift|security,Semi,2025-08-31,Agent,affordable|near-metro|gated-community,#325eee,3.8,True,rent
PROP1110,Pick test require.,Bungalow,29958095,Maharashtra,Nagpur,2564,4,1,pool|gym|wifi|power-backup,Unfurnished,2025-08-09,Builder,sea-view|corner-plot|lake-view,#fa4a8a,1.3,True,sale
PROP1111,Guy machine break head.,Bungalow,30600754,Karnataka,Mangalore,3105,1,1,parking|gym|power-backup|wifi|pool|garden,Unfurnished,2025-09-15,Builder,corner-plot|near-metro,#e99927,2.0,False,rent
PROP1112,You can trouble.,Bungalow,9402699,Delhi,New Delhi,1012,1,1,garden|clubhouse|power-backup,Unfurnished,2025-10-25,Builder,luxury|lake-view|corner-plot,#1b4b04,1.1,False,sale
PROP1113,According start author some.,Apartment,46624589,Karnataka,Mangalore,3882,1,5,security|gym|clubhouse|power-backup|parking,Semi,2025-10-29,Owner,near-metro|gated-community|sea-view|luxury,#e00065,2.3,True,rent
PROP1114,Once school road.,Bungalow,9676834,Karnataka,Mysore,3219,5,3,gym|lift|parking|pool|wifi|clubhouse,Furnished,2025-10-08,Builder,corner-plot|lake-view|family-friendly|sea-view,#455876,1.5,True,rent
PROP1115,Future fish.,Studio,40432689,Karnataka,Mangalore,2491,5,3,power-backup|garden|wifi|pool|parking,Furnished,2025-07-26,Owner,gated-community|affordable|corner-plot|lake-view,#10336f,4.4,False,rent
PROP1116,Nothing high social focus.,Apartment,35262175,Tamil Nadu,Madurai,2753,6,1,clubhouse|security|pool|gym|wifi,Furnished,2025-06-06,Agent,sea-view|near-metro|gated-community|lake-view,#a92b76,4.3,True,sale
PROP1117,Receive green machine own give.,Bungalow,12443570,Karnataka,Mangalore,2049,4,2,parking|security|gym|power-backup|pool|lift,Unfurnished,2025-11-07,Owner,gated-community|family-friendly|affordable|sea-view,#fbefce,1.4,True,sale
PROP1118,Idea suffer radio themselves.,Penthouse,11546153,Karnataka,Mysore,4420,2,3,power-backup|parking|pool,Semi,2025-10-18,Builder,affordable|near-metro|family-friendly,#476115,2.2,True,rent
PROP1119,Say market.,Villa,35757392,Tamil Nadu,Coimbatore,3130,4,3,clubhouse|power-backup|parking|garden|pool,Unfurnished,2025-08-16,Owner,gated-community|luxury|near-metro|corner-plot,#8130e3,1.7,False,rent
PROP1120,Number clear economic.,Penthouse,28840167,Tamil Nadu,Madurai,3964,2,3,pool|parking|lift|clubhouse|garden|wifi,Furnished,2025-08-02,Agent,family-friendly|sea-view|corner-plot|near-metro,#74969c,2.7,False,sale
PROP1121,Production too writer that fast.,Villa,2479403,Gujarat,Surat,3692,1,3,power-backup|gym|wifi|lift|garden,Furnished,2025-06-17,Builder,sea-view|family-friendly|luxury|gated-community,#162511,4.1,True,rent
PROP1122,More call level.,Bungalow,31621104,West Bengal,Siliguri,608,4,2,parking|clubhouse|pool|security,Unfurnished,2025-09-23,Builder,corner-plot|lake-view|sea-view,#3ae1c6,1.5,False,sale
PROP1123,Social certain ok community.,Bungalow,14358107,Tamil Nadu,Chennai,766,4,5,gym|power-backup|wifi,Semi,2025-10-28,Owner,near-metro|lake-view|affordable|gated-community,#9c33af,2.6,True,sale
PROP1124,Hotel herself attorney.,Villa,15091436,Tamil Nadu,Chennai,2056,5,4,security|wifi|lift|garden,Semi,2025-08-18,Builder,gated-community|sea-view|corner-plot,#d26617,4.6,True,rent
PROP1125,Subject total special second car.,Studio,31472809,West Bengal,Siliguri,4098,1,5,clubhouse|wifi|garden|lift,Furnished,2025-07-17,Agent,sea-view|gated-community|lake-view,#2e0675,2.6,False,rent
PROP1126,Police mention yeah build.,Studio,39723169,Maharashtra,Pune,3236,3,2,security|garden|power-backup|pool,Furnished,2025-08-14,Agent,near-metro|sea-view|family-friendly,#5e2be6,1.9,False,rent
PROP1127,Material small million guess.,Apartment,36051292,Karnataka,Mangalore,3204,6,5,gym|parking|lift|power-backup,Semi,2025-09-10,Agent,near-metro|sea-view|gated-community,#73e3f3,3.3,False,rent
PROP1128,Attack health here discuss.,Bungalow,26900702,Gujarat,Ahmedabad,1359,4,3,gym|power-backup|garden|parking|security|wifi,Furnished,2025-06-16,Builder,lake-view|family-friendly|affordable|near-metro,#e51161,4.0,True,sale
PROP1129,Effort look long doctor theory.,Studio,9987625,Gujarat,Ahmedabad,3163,6,2,power-backup|garden|gym|clubhouse|lift,Semi,2025-07-01,Owner,corner-plot|lake-view|affordable|sea-view,#0dcc0a,3.0,True,sale
